participant	text_id	sentence_id	text	token_count	fix_count	fix_prob	mean_fix_dur	first_fix_dur	first_pass_dur	tot_fix_dur	refix_count	reread_prob	tot_regr_from_dur
avg	1-26	135	Terwijl hij er een ander voor in de plaats legde, met veel vertoon van de tederste zorg, keek zij naar hem met een innige blik.	25	21.8	11.5	3224.0900000000006	3257.8999999999996	3431.9	4398.100000000001	4.7	4.700000000000001	1721.2
avg	3-133	3897	Waar ik vandaan kom, wie ik was voor ik met John trouwde, kortom, helemaal niets.	15	11.375	6.875	1966.0625	1997.25	2165.375	2331.25	1.0	2.0	891.125
avg	4-30	4327	Ja, op de kast van de verdachte.	7	4.5	3.125	749.9791666666666	762.75	862.625	862.625	0.0	0.375	186.125
avg	1-31	180	Het zou een 'zij' kunnen zijn, opperde ik.	8	8.600000000000001	4.7	1251.9666666666667	1221.6000000000001	1405.0	1923.2	2.2	2.6	1247.7999999999997
avg	3-139	3946	U en John blijven hier niet wonen?	7	3.75	3.625	729.5	729.75	752.5	752.5	0.0	0.125	0.0
avg	3-13	2850	Ik wist niet dat het op de een of andere manier belangrijk was.	13	8.75	6.0	1353.0833333333335	1370.75	1411.5	1624.625	0.875	1.125	562.125
avg	2-111	2205	Dat mevrouw Inglethorp misschien onbewust een te grote dosis heeft ingenomen?	11	7.699999999999999	6.0	1496.75	1500.6999999999998	1567.6000000000001	1604.4	0.1	0.5	257.2
avg	2-94	2098	Maar ze was heel goed voor ons Belgen, als man van eer ben ik haar dit verplicht.	17	12.1	9.3	2155.7000000000007	2158.8000000000006	2326.1000000000004	2502.5	1.0	1.7000000000000004	452.4000000000001
avg	4-61	4519	Vindt u niet dat het een uitgesproken gelijkenis vertoont met uw eigen handschrifte slordig verdraaid?	15	15.625	8.25	2244.9375	2192.25	2686.375	3458.625	2.25	3.75	1125.375
avg	3-63	3269	Het leek een zo volkomen niet ter zake doende opmerking, dat ik niet eens de moeite nam er een antwoord op te geven.	23	15.5	10.375	2859.4375	2814.375	2923.0	3402.125	2.0	2.375	1122.25
avg	1-56	363	Mevrouw Inglethorps voordracht kreeg een enorm applaus en zo werd het feest een groot succes.	15	13.299999999999999	9.1	2054.2666666666664	2082.3	2476.1000000000004	2825.4	1.4000000000000006	2.8000000000000003	847.3
avg	2-57	1761	Ik begrijp het, mademoiselle, ik begrijp helemaal hoe u zich voelt.	11	7.3	4.8999999999999995	1137.5833333333335	1133.9999999999998	1245.4999999999998	1423.0	0.9	1.3	193.1
avg	3-58	3211	Ik zal u niets vragen.	5	3.25	2.25	578.4375	583.25	583.25	620.25	0.25	0.25	266.5
avg	4-69	4584	Plotseling sloeg hij zijn armen om mij heen en zoende me op beide wangen, en voordat ik van mijn verbazing bekomen was, rende hij hals over kop de kamer uit.	30	19.0	12.875	2966.291666666667	3010.75	3340.75	3522.375	1.0	3.0	440.625
avg	2-89	2048	Hij zal een verklaring moeten afleggen bij het onderzoek.	9	7.9	4.1	1177.2033333333334	1199.4	1314.5	1589.8	1.5	1.4000000000000001	742.2
avg	2-107	2178	Ja, maar er bestaat geen enkele mogelijkheid de inhoud van het kopje te laten analyseren, omdat het helemaal aan gruizels is.	21	14.5	10.299999999999999	2508.608333333333	2524.5	2747.7	3211.8999999999996	1.7000000000000002	1.9000000000000001	423.0
avg	4-147	5046	En verder was er die nogal overdreven haat van haar!	10	6.375	4.75	1201.6875	1201.375	1329.25	1344.5	0.125	0.625	260.625
avg	3-73	3350	Na de lunch vroeg Poirot of ik met hem meeging naar huis.	12	8.0	5.0	1317.3125	1313.0	1490.5	1694.375	0.625	1.125	484.0
avg	4-99	4764	Denkt u zich haar gevoelens eens in, haar schoonmoeder wordt plotseling ziek en sterft, en ze hoort onmiddellijk daarna het woord 'vergif' vallen.	23	22.375	12.75	3607.772916666667	3598.125	3875.25	4634.75	3.625	4.25	2282.875
avg	3-13	2842	Was dokter Bauerstein hier dinsdagavond?	5	5.5	2.875	773.3270833333333	751.875	997.5	1141.125	0.5	1.0	184.125
avg	1-44	290	Het is net een troep aasgieren...allemaal. Ja, ik weet heus wel waar ik over praat.	15	14.599999999999998	8.0	2303.7142857142853	2270.3	2556.2000000000003	3231.7000000000003	2.4000000000000004	2.4	1355.9
avg	2-22	1438	Meneer Wells om u te spreken, meneer, zei ze tegen John.	11	10.3	5.4	1519.2083333333335	1587.1999999999998	1743.3999999999996	2160.7000000000003	2.1000000000000005	2.3000000000000007	580.6999999999999
avg	3-144	3986	De stomme ezel! riep ik uit.	6	4.625	3.125	724.875	738.0	798.625	938.375	0.625	0.75	165.5
avg	2-93	2083	Die zouden niet aan het wankelen worden gebracht doordat twaalf stommelingen toevallig een fout begingen!	15	12.399999999999999	8.7	2086.1166666666663	2166.1	2448.6	2613.2000000000003	0.9	2.3	240.9
avg	2-85	2007	Zoiets verwacht je niet van zo'n beschaafde vrouw.	8	5.8	3.999999999999999	936.0000000000001	962.0	1011.7	1176.3000000000002	0.7999999999999999	1.0999999999999999	143.79999999999998
avg	4-156	5108	En daar had hij gelijk in.	6	4.0	2.5	745.375	748.25	848.25	848.25	0.0	0.5	198.25
avg	2-58	1768	Zou ze dat voor elkaar krijgen?	6	5.6	2.1999999999999997	915.4666666666667	954.5999999999999	998.0999999999999	1240.7	1.0	1.0	422.69999999999993
avg	3-50	3125	Dat is waar, maar jij bent niet voldoende.	8	5.0	3.5	883.5416666666666	898.5	992.5	1007.875	0.125	0.5	107.0
avg	4-89	4709	Dan pas geeft ze opdracht de haard in haar kamer aan te steken.	13	10.375	6.0	1471.6145833333335	1491.75	1535.25	2051.375	2.375	2.375	718.5
avg	2-135	2408	In het zwakke licht zag mijn arme vrouw, die ook nog hevige pijnen had, hem voor mij aan.	18	16.9	8.200000000000001	2422.291666666666	2414.4	2583.0000000000005	3492.9	4.000000000000001	3.700000000000001	1618.1
avg	4-86	4695	Zoals we nu weten, had ik hierin ongelijk, en ik was dus gedwongen van dat idee af te stappen.	19	11.75	8.375	2264.666666666667	2180.25	2285.5	2834.25	1.375	1.75	1655.0
avg	4-11	4209	Ook niet, nadat je dat brokstuk van het gesprek tussen mevrouw Cavendish en haar schoonmoeder opgevangen had en nadat zij vervolgens bij het vooronderzoek allesbehalve oprecht was?	27	25.75	13.875	3644.0125000000003	3650.0	4186.625	5255.75	4.625	6.625	1536.875
avg	2-65	1848	Dat waardeer ik erg in u.	6	3.3000000000000003	2.1	639.9	615.8000000000001	729.4000000000001	778.5	0.2	0.5	321.7
avg	4-46	4443	Sir Ernest slingerde hem als het ware de volgende vraag in het gezicht: Hebt u een fles in het bijzonder bekeken?	21	12.5	9.125	2240.75	2258.75	2419.875	2532.375	0.75	1.75	399.875
avg	2-45	1654	Ze had Alfred Inglethorp maar al te goed doorzien.	9	6.1	4.7	1115.95	1110.9	1225.0	1225.0	0.0	0.7000000000000001	140.4
avg	3-102	3625	En? vroeg ik, zodra we door een bladerscherm aan eventuele nieuwsgierige blikken onttrokken waren.	14	11.25	6.625	1686.9791666666665	1711.625	1990.0	2249.875	1.0	2.375	310.875
avg	4-158	5128	Hij verzeilde haast als vanzelf in een verhouding met mevrouw Raikes, en zij zocht steeds meer de vriendschap met Bauerstein.	20	16.0	7.875	2681.239583333333	2679.875	3134.5	3586.75	1.75	3.375	487.125
avg	2-155	2555	bedenkt geen verweer, geen schijn van een alibi, terwijl hij toch weet dat de apothekersassistent natuurlijk met deze feiten voor de dag moet komen.	24	21.000000000000004	11.700000000000001	3037.9750000000004	3073.6	3492.1000000000004	4352.4000000000015	3.5000000000000004	4.3999999999999995	2290.7000000000003
avg	1-173	1283	Een zeer loffelijke gedachte, zei Poirot, terwijl hij kwiek overeind kwam.	11	9.4	7.1000000000000005	1711.7166666666665	1678.0	1758.8	1977.9999999999995	0.8999999999999999	1.2000000000000004	210.9
avg	2-112	2214	Maar Dorcas, die als volgende getuige werd opgeroepen, deed zelfs die mogelijkheid teniet.	13	12.299999999999999	7.9	1975.2333333333336	2021.5	2175.2000000000003	2377.5	1.3	2.0	606.5
avg	1-100	662	Ga maar naar de anderen beneden.	6	5.6	2.5999999999999996	795.7583333333332	830.0999999999999	934.0	1252.6000000000001	1.3	1.3	450.3
avg	3-60	3241	Koste wat het kosten wil!	5	3.75	2.625	609.1875	593.5	713.125	771.75	0.25	0.625	118.875
avg	3-147	4016	'To speak or not to speak, zoals jullie grote Shakespeare zegt, that is the question'.ÃƒÂ¶ Unknown66	16	16.25	9.25	2329.4625	2375.75	2536.25	3218.375	3.25	3.5	1198.875
avg	1-120	825	We liepen snel door het dorp en kwamen bij de oprijlaan.	11	8.8	5.8	1390.0	1362.0	1566.8	1876.3000000000002	1.4000000000000004	1.9000000000000001	348.90000000000003
avg	2-13	1366	Ik geloof, meneer Cavendish, zei Poirot ernstig, dat u er goed aan zou doen geen valse hoop te koesteren.	19	13.799999999999999	10.7	2380.616666666667	2415.1	2525.3	2695.6	0.8999999999999999	1.5	374.69999999999993
avg	4-43	4417	In antwoord op de vragen van Philips ontkende hij met zachte stem in juni ook maar iets bij de firma Parkson te hebben besteld.	24	15.25	10.25	2442.3125	2418.75	2725.75	2962.5	1.0	2.625	563.75
avg	1-34	207	Daar zijn geen woorden voor.U	5	4.1000000000000005	3.2	674.4166666666666	696.6	716.5	770.5	0.30000000000000004	0.4	303.50000000000006
avg	2-174	2693	Het was aan Poirot om zijn grootspraak waar te maken.	10	8.3	4.8	1284.1833333333332	1302.3	1451.9999999999998	1754.3	1.5000000000000002	1.7999999999999998	268.09999999999997
avg	4-149	5052	Terwijl de verdenking op hem gericht moest worden zou zij rustig voorbereidingen treffen voor een heel andere denouement.	18	16.25	9.25	2626.791666666667	2629.75	3210.125	3563.125	1.5	3.375	1044.25
avg	2-64	1837	U dan niet? vroeg ik, nogal uit het veld geslagen.	10	7.300000000000001	4.5	1121.375	1158.4	1262.5	1518.8999999999999	1.2	1.4000000000000001	555.6
avg	2-156	2559	ik begrijp niet... begon ik.	5	3.7	2.4999999999999996	742.1	778.2	847.9999999999999	912.9999999999999	0.4	0.7999999999999999	137.7
avg	1-14	56	We hebben nog steeds een paar druppels benzine, weet je, zei hij.	12	12.700000000000001	6.9	1568.725	1616.2	1846.8	2329.7000000000003	2.8	3.5	701.6
avg	3-50	3123	Ik moet een bondgenoot in het huis hebben, merkte hij nadenkend op.	12	7.25	5.375	1353.5	1339.5	1448.125	1495.5	0.25	0.875	199.625
avg	1-147	1045	Je hoeft niet bang te zijn dat je geheimen van mevrouw verraadt.	12	7.699999999999999	5.4	1383.3666666666668	1390.3	1449.8000000000002	1534.7000000000003	0.5	0.8999999999999999	179.6
avg	2-138	2433	Ze zagen er helemaal niet als politiemannen uit.	8	4.9	3.7	802.1999999999999	810.4000000000001	932.4000000000001	1006.8000000000001	0.30000000000000004	0.8	94.2
avg	1-18	80	Hallo, Evie, hier is onze gewonde held!	7	11.2	4.8	1141.3866666666665	1177.2	1365.0	2334.5	4.1	3.0	569.0
avg	3-160	4141	Dat zal ik vast eens doen, als u mij uitnodigt, beloofde ze hem met een glimlach.	16	11.5	7.25	1787.5104166666665	1836.875	1997.75	2195.75	1.0	1.75	666.5
avg	2-23	1455	Omdat mademoiselle Cynthia geen suiker in haar koffie gebruikt.	9	7.800000000000002	5.8	1085.6666666666667	1088.1	1261.7	1392.3999999999999	0.6000000000000001	1.4000000000000001	133.4
avg	4-53	4486	Toen de verdachte dinsdagavond thuiskwam, vernam hij van betrouwbare zijde dat er een hevige ruzie was geweest tussen de heer en mevrouw Inglethorp.	23	20.625	14.25	3202.7499999999995	3221.75	3867.125	4414.375	2.5	4.375	652.625
avg	3-43	3074	Na een ogenblik aarzelen legde hij hem terug in de kist, gooide alles er weer bovenop zoals het gelegen had en liep snel naar beneden.	25	17.375	13.125	3024.25	2983.75	3225.125	3424.875	1.0	2.0	454.5
avg	3-26	2950	Maar je hebt die mogelijkheid toch zelf geopperd tegenover Wells!	10	10.5	6.125	1592.0708333333332	1556.875	1766.625	2157.625	1.5	2.0	766.25
avg	3-19	2896	Het is zo volkomen dwaas...	5	3.75	2.25	534.0	529.25	672.5	721.125	0.25	0.875	73.5
avg	1-161	1169	Misschien niet, maar valt je niet iets bijzonders op aan dit doosje?Ik bekeek het nauwlettend.	15	11.2	7.300000000000002	1847.3333333333333	1835.3999999999999	2077.9999999999995	2299.7999999999997	1.0	1.9000000000000004	587.1
avg	1-170	1248	Mevrouw Inglethorp had geen kaars, alleen een leeslamp. Dan zou je het dus vast en zeker gezien hebben, denk je, als er een grote kaarsvetvlek op de grond had gezeten?	30	21.700000000000003	16.0	3765.9666666666662	3768.3999999999996	3909.399999999999	4428.299999999998	2.2000000000000006	2.8000000000000007	902.5999999999999
avg	3-83	3459	Ze aarzelde en plotseling kwam er op haar gezicht een vreemde uitdrukking, zo oud als de wereld, maar toch met iets van eeuwige jeugd erin.	25	19.0	11.625	2936.65625	2935.375	3178.875	3580.375	1.75	2.875	1356.75
avg	4-107	4810	Deze oplossing doet binnen een paar uur het grootste deel van het strychninezout neerslaan in heldere kristallen als een onoplosbare bromide.	21	15.0	9.875	2513.447916666667	2491.0	2726.5	3052.0	1.0	2.25	457.875
avg	1-89	577	Ik geloof dat deze iets minder solide is dan die in de gang.	13	9.200000000000001	6.3	1615.1666666666665	1596.6999999999996	1707.0999999999997	1912.8999999999996	0.8	1.2	515.1
avg	1-73	468	Ze greep de trapleuning krampachtig vast; toen leek ze zich te vermannen voor het gesprek dat haar wachtte; ze liep vlug langs mij heen naar beneden, de hal door naar het boudoir en trok de deur achter zich dicht.,	39	27.700000000000006	20.5	4835.766666666666	4855.199999999999	5147.999999999999	5675.1	2.4000000000000004	4.2	1098.8
avg	3-39	3046	Dus, als u dat aan die Belgische meneer wilt vertellen...	10	8.0	4.0	1218.4375	1168.75	1168.75	1515.0	1.25	1.125	794.125
avg	2-11	1355	Uiteindelijk was Poirot, al was hij dan oud, in zijn tijd een groot man geweest.	15	13.799999999999999	8.600000000000001	2158.666666666666	2156.3	2377.2999999999997	2773.0000000000005	1.8	2.5	838.5999999999999
avg	3-90	3530	Maar er schoot me nog iets anders te binnen.	9	5.125	3.625	915.625	916.875	930.875	999.125	0.375	0.5	191.0
avg	1-32	182	Maar moord is een daad van geweld.	7	5.5	3.5	836.8833333333333	827.3	880.9	1100.9	0.8	1.1	178.10000000000002
avg	1-158	1137	Ik ben bang van niet, meneer, ik had 's avonds vrijaf en was er niet.	15	7.8999999999999995	6.299999999999999	1506.8	1526.6000000000001	1552.3000000000002	1638.4	0.4	0.6000000000000001	103.2
avg	2-42	1628	Zijn stem beefde en hij werd bleek.	7	4.1	3.0	689.3000000000001	715.4	767.5	818.8	0.30000000000000004	0.7000000000000001	182.2
avg	3-162	4164	Ik zag een onbehaaglijke blik in de ogen van Dorcas verschijnen.	11	7.375	3.5	1100.21875	1067.75	1130.25	1391.0	1.0	1.25	172.875
avg	4-73	4620	heb hem een briefje gestuurd.	5	3.875	2.75	737.5625	711.875	815.875	815.875	0.0	0.25	177.25
avg	1-14	57	Dat hebben we voornamelijk te danken aan de activiteiten van ma.	11	9.7	5.800000000000001	1419.0666666666664	1433.1	1620.6	2009.9	1.8000000000000003	2.3000000000000003	1533.3999999999999
avg	3-23	2926	Zij is het toonbeeld van de evenwichtige Engelse nuchterheid.	9	8.0	5.5	1324.8125	1350.375	1572.75	1708.0	0.75	1.5	249.125
avg	1-41	260	Ik heb haar ronduit gezegd: Je bent oud, Emily, en hoe ouder hoe gekker.	14	9.700000000000001	7.299999999999999	1872.4999999999998	1870.2000000000003	1920.9	2082.1	0.7	1.0	589.6
avg	2-41	1624	Wells schraapte zijn keel en merkte droogjes op: Ben je er zo zeker van dat het toeval is, Cavendish?	19	13.499999999999998	10.1	2097.591666666667	2140.7000000000003	2332.3	2686.0000000000005	1.5	2.3000000000000007	455.6000000000001
avg	1-11	28	Maar mevrouw Cavendish was iemand die graag haar eigen zin deed en van andere mensen verlangde dat ze zich ernaar schikten, en in dit geval hield ze zeker de touwtjes in handen, namelijk: de koorden van de beurs.	38	33.6	22.00000000000001	5270.500000000001	5307.7	6062.2	7007.800000000001	3.6000000000000005	7.099999999999999	1114.4
avg	2-173	2688	Daar voegden wij ons bij de detectives en gingen op weg naar Styles.	13	9.200000000000001	7.0	1664.9	1640.6	1804.8	1973.4999999999998	0.8999999999999999	1.4000000000000004	342.59999999999997
avg	2-26	1480	Als je er niets op tegen hebt, vervolgde Wells, dan had ik het op vrijdag willen houden.	17	13.700000000000001	8.4	2184.466666666667	2195.1	2403.6	2748.2000000000003	1.9000000000000004	2.6000000000000005	849.3
avg	3-7	2771	Mijn arme Emily is nog niet eens begraven, is het dan zo'n wonder dat ik wilde voorkomen dat er nog meer lasterpraatjes in de wereld kwamen?	26	18.25	12.5	2983.1770833333335	2964.5	3526.875	3722.125	0.875	2.75	629.125
avg	1-84	536	Om het volgende gedeelte van mijn verhaal duidelijk te maken geef ik op de volgende bladzijde een plattegrond van de eerste verdieping van Styles.	24	18.4	11.100000000000001	2799.05	2830.6	3074.2999999999997	3668.1000000000004	2.7	2.9	542.1
avg	1-40	252	Ik heb in ieder geval gezegd wat ik op m'n hart had!	12	7.8	5.200000000000001	1164.8833333333334	1165.2	1215.0	1449.8	1.2	1.5000000000000002	326.0
avg	4-38	4379	Sinds de zitting van de politierechtbank was er door de detectives een nieuw bewijsstuk ontdekt, namelijk een langwerpig, zo goed als nieuw stuk vloei.	24	20.5	11.75	2838.1583333333333	2844.0	3500.25	4124.375	2.75	4.875	552.375
avg	1-127	870	John keek niet-begrijpend, omdat hem de portÃƒÅ¡e van deze bedekte toespeling ontging.	12	14.499999999999998	7.0	1871.3500000000001	1835.3999999999999	2252.4	2941.3000000000006	3.2	4.0	880.8000000000001
avg	3-153	4074	Misschien is het je opgevallen dat er iets van vegen over de vingerafdrukken zit.	14	10.625	6.375	1590.5208333333333	1626.375	1747.5	2083.375	1.5	2.25	483.5
avg	1-94	610	Een ogenblik bleef hij als aan de grond genageld staan en staarde naar de gestalte op het bed; op hetzelfde moment riep mevrouw Inglethorp met gesmoorde stem en haar ogen strak op de dokter gericht: Alfred, Alfred,...	37	30.000000000000004	17.0	4860.653333333335	4906.700000000001	5588.0	6310.899999999999	3.6	5.6	2638.0
avg	2-166	2637	Dat geeft te denken, mon ami.	6	4.300000000000001	2.9	683.6333333333334	687.9000000000001	687.9000000000001	764.6000000000001	0.6	0.5	187.9
avg	1-75	482	Ze 'was toevallig vlak bij de deur'.	7	5.8	2.7	766.775	791.8	853.2	1202.4	1.5	1.5	332.8
avg	3-108	3688	Dus ging ik naar het huis met voor het raam een bordje 'Kamers te huur', waar ik wist dat hij verbleef, en klopte aan.	24	18.75	11.875	3131.0520833333335	3131.875	3408.375	3966.875	2.25	3.0	1049.875
avg	3-24	2934	Nu, welke argumenten pleiten ertegen dat juffrouw Howard mevrouw Inglethorp opzettelijk zou hebben vergiftigd?	14	17.25	8.625	2270.875	2265.375	2659.75	3448.0	3.875	4.5	909.375
avg	1-129	894	Beste vriend, een groot huis en comfort hoeven niet altijd samen te gaan.	13	10.2	6.3	1619.0500000000002	1600.8	1697.1000000000001	1955.3000000000002	1.0000000000000002	1.3000000000000003	1479.8
avg	3-28	2965	Wat heb ik dan gezegd over die getuigenverklaring?	8	6.625	3.5	947.0000000000001	946.625	1023.125	1271.125	0.75	1.25	447.375
avg	3-82	3451	Heb ik heus geen enkel recht, Mary? zei hij onvast.	10	7.625	4.875	1173.0833333333333	1157.875	1248.375	1404.5	0.875	1.25	660.625
avg	1-60	380	Lachend gaf ik het toe.	5	4.1	2.9000000000000004	753.8499999999999	751.6999999999999	860.5999999999999	969.8	0.4	0.9	243.8
avg	1-105	699	John, zei ik, ik wil je iets vragen.	8	5.2	3.6999999999999997	919.7	908.6999999999999	940.5000000000001	1040.8999999999999	0.5	0.7	204.59999999999997
avg	2-19	1418	Als ze wilde, kon haar gezicht echter een ondoorgrondelijke, haast sfinxachtige uitdrukking krijgen.	13	17.1	8.8	2059.2857142857138	2063.1	2737.8999999999996	3629.8	3.9	4.5	1165.1
avg	1-151	1070	Ben je er zeker van dat het de stem van meneer Inglethorp was, die je hoorde?	16	7.2	5.6	1380.2500000000002	1378.1000000000001	1378.1000000000001	1397.8000000000002	0.1	0.1	41.800000000000004
avg	3-6	2762	We zouden ons aardig in de nesten gewerkt hebben als we hem gearresteerd hadden. Unknown25	15	10.0	6.375	1793.8958333333333	1792.0	1970.125	2078.125	0.625	1.5	589.875
avg	4-68	4581	Dit keer is het een reusachtig idee!	7	5.0	3.25	716.2708333333333	727.625	832.25	906.5	0.375	0.875	85.25
avg	2-20	1427	Er is niets beters tegen mal de tete.	8	7.0	4.3999999999999995	1127.65	1147.9	1283.0	1523.4	1.1	1.3	369.20000000000005
avg	2-149	2503	En Alfred Inglethorp mag onder geen beding gearresteerd worden.	9	8.4	6.3999999999999995	1419.1499999999999	1433.0	1533.1999999999998	1746.7999999999997	1.1	1.6	189.9
avg	4-127	4922	Waarschijnlijk kwam het plan heel plotseling bij haar op.	9	9.25	4.875	1402.93125	1382.375	1950.625	2183.625	1.125	1.875	526.0
avg	1-169	1238	En de deur naar de kamer van meneer Inglethorp? Heb je gezien of die ook op de grendel zat?	19	11.1	7.999999999999998	1861.9833333333331	1869.1000000000001	1940.8000000000002	2092.0000000000005	0.7999999999999999	1.2	598.7
avg	1-13	48	Die vent is minstens twintig jaar jonger dan zij!	9	7.1000000000000005	5.199999999999999	1209.25	1223.6000000000001	1311.0	1397.4	0.5	1.2	80.1
avg	2-137	2424	Op dat moment stootte Poirot me zachtjes aan en wees op twee mannen die samen bij de deur zaten.	19	12.3	7.699999999999999	2212.5333333333333	2228.8	2307.8	2514.0	1.0999999999999999	1.4	820.0
